"Collection Name","Title#1","Name#1","Name#2","Name#3","Name#4","Type of Resource#1","Genre#1","Place Term#1","Publisher#1","Date Created#1","Abstract#1","Subject Topic#1","Subject Topic#2","Subject Topic#3","Subject Topic#4","Subject Topic#5","Subject Topic#6","Subject Topic#7","Subject Topic#8","Identifier ARK#1","Identifier#2","Physical Location#1","Shelf Locator#1","Access Condition#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Clifford P. and Therese S. Westermeier Collection","""Chief Turkey Track"" at rodeo","Doubleday, R.R.; photographer","","","","still image","Photographic postcards","","","1910","American Indian man dancing, with caption ""Chief Turkey Track, Sioux""","Rodeos","Rodeo performers","Indians in rodeos","","","","","","https://ark.colorado.edu/ark:/47540/g91s8817m5d2","narv_westermeier_26_09_G8.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 26, Fd 9, Photo G8","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","617","224156","4858","narv_westermeier_26_09_G8.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~617~224156"
"Clifford P. and Therese S. Westermeier Collection","A horse named ""No Name""","Doubleday, R.R.; photographer","","","","still image","Photographic postcards","Oregon--Pendleton","","1926","A famous horse, ""No Name,"" being lead by a man on horseback","Rodeos","Rodeo animals","Horses","","","","","","https://ark.colorado.edu/ark:/47540/ss05699280p5","narv_westermeier_31_05_B15.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 5, Photo B15","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","618","224129","4858","narv_westermeier_31_05_B15.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~618~224129"
"Clifford P. and Therese S. Westermeier Collection","Al Hoyt riding bronco","Bowman, Walter S.; photographer","Hoyt, Al; performer","","","still image","Photographic postcards","Oregon--Pendleton","","","Rodeo performer Al Hoyt riding bucking bronco","Rodeos","Rodeo performers","Bronco riding","","","","","","https://ark.colorado.edu/ark:/47540/hr5653816283","narv_westermeier_31_05_B9.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 5, Photo B9","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","619","224130","4858","narv_westermeier_31_05_B9.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~619~224130"
"Clifford P. and Therese S. Westermeier Collection","Anita Studnick riding bronco at the Pendleton Round-Up","Studnick, Anita; performer","","","","still image","Photographic postcards","Oregon--Pendleton","Pendleton Drug Co.","1924","Rodeo performer Anita Studnick riding bronco, ""Billy Buck""","Cowgirls","Women rodeo performers","Women in rodeos","Rodeos","Bronco Riding","","","","https://ark.colorado.edu/ark:/47540/463h5r37p7x5","narv_westermeier_44_Book1_AN.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 1, Photo AN","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","620","223905","4858","narv_westermeier_44_Book1_AN.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~620~223905"
"Clifford P. and Therese S. Westermeier Collection","Art Acord and others roping horses","Acord, Art; performer","","","","still image","Photographic postcards","","","","Roder performer Art Acord and others rope horses to prepare for bronco riders","Rodeos","Rodeo performers","Horses","","","","","","https://ark.colorado.edu/ark:/47540/b70w1g27v3vp","narv_westermeier_44_Book2_CJ.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 2, Photo CJ","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","621","223868","4858","narv_westermeier_44_Book2_CJ.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~621~223868"
"Clifford P. and Therese S. Westermeier Collection","Art Acord doing Hippodrome stand","Acord, Art; performer","","","","still image","Photographic postcards","","","","Rodeo performer Art Acord standing in saddle of running horse with arms out, a trick called the ""Hippodrome stand""","Rodeos","Rodeo performers","Trick riding","","","","","","https://ark.colorado.edu/ark:/47540/gf5p7m25k98z","narv_westermeier_44_Book2_AT.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 2, Photo AT","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","622","223883","4858","narv_westermeier_44_Book2_AT.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~622~223883"
"Clifford P. and Therese S. Westermeier Collection","Art Acord riding bronco, Cyclone","Acord, Art; performer","","","","still image","Photographic postcards","","","","Rodeo performer Art Acord riding bucking bronco, Cyclone","Rodeos","Rodeo performers","Bronco riding","","","","","","https://ark.colorado.edu/ark:/47540/fd1h6b72d4np","narv_westermeier_44_Book2_BU.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 2, Photo BU","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","623","223877","4858","narv_westermeier_44_Book2_BU.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~623~223877"
"Clifford P. and Therese S. Westermeier Collection","Bareback bronco rider","Devere; photographer","","","","still image","Photographic postcards","Wyoming--Cheyenne","","1948","Rodeo performer Jim White riding bronco with no saddle","Rodeos","Rodeo performers","Bronco riding","","","","","","https://ark.colorado.edu/ark:/47540/qk605248w3dt","narv_westermeier_31_07_C2.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 7, Photo C2","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","624","224115","4858","narv_westermeier_31_07_C2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~624~224115"
"Clifford P. and Therese S. Westermeier Collection","Bareback bronco rider","Devere; photographer","","","","still image","Photographic postcards","Wyoming--Cheyenne","","1948","Rodeo performer O.H. Goze being thrown off bucking bronco","Rodeos","Rodeo performers","Bronco riding","","","","","","https://ark.colorado.edu/ark:/47540/dm0n6k41c3d2","narv_westermeier_31_07_C1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 7, Photo C1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","625","224116","4858","narv_westermeier_31_07_C1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~625~224116"
"Clifford P. and Therese S. Westermeier Collection","Bareback bronco rider","","","","","still image","Photographic postcards","","","","Unidentified rodeo performer riding bronco with no saddle","Rodeos","Rodeo performers","Bronco riding","","","","","","https://ark.colorado.edu/ark:/47540/bz826c18n1m2","narv_westermeier_44_Book2_BN.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 2, Photo BN","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","626","223878","4858","narv_westermeier_44_Book2_BN.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~626~223878"
