"Collection Name","Title#1","Name#1","Name Authority#1","Name#2","Name Authority#2","Name#3","Name Authority#3","Name#4","Name Authority#4","Type of Resource#1","Type of Resource Authority#1","Genre#1","Genre Authority#1","Place Term#1","Publisher#1","Date Created#1","Language Term#1","Language Term Code#1","Language Term Code Authority#1","Language Term Type#1","Form#1","Form Authority#1","Internet Media Type#1","Extent#1","Digital Origin#1","Abstract#1","Subject Topic#1","Subject Topic Authority#1","Subject Topic#2","Subject Topic Authority#2","Subject Topic#3","Subject Topic Authority#3","Subject Topic#4","Subject Topic Authority#4","Subject Topic#5","Subject Topic Authority#5","Subject Topic#6","Subject Topic Authority#6","Subject Topic#7","Subject Topic Authority#7","Subject Topic#8","Subject Topic Authority#8","Identifier#1","Identifier ARK#1","Physical Location#1","Shelf Locator#1","Access Condition URI#1","Access Condition#2","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Clifford P. and Therese S. Westermeier Collection","""Chief Turkey Track"" at rodeo","Doubleday, Ralph Russell, 1881-1958;photographer","local","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","","","1910","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","American Indian man dancing, with caption ""Chief Turkey Track, Sioux""","Rodeos","http://id.worldcat.org/fast/1099565","Rodeo performers","http://id.worldcat.org/fast/1099561","Indians in rodeos","http://id.worldcat.org/fast/969427","","","","","","","","","","","narv_westermeier_26_09_G8.tif","https://ark.colorado.edu/ark:/47540/g91s8817m5d2","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 26, Fd 9, Photo G8","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","617","4858","narv_westermeier_26_09_G8.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~617~224156"
"Clifford P. and Therese S. Westermeier Collection","A horse named ""No Name""","Doubleday, Ralph Russell, 1881-1958;photographer","local","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","Oregon--Pendleton","","1926","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","A famous horse, ""No Name,"" being lead by a man on horseback","Rodeos","http://id.worldcat.org/fast/1099565","Rodeo animals","http://id.worldcat.org/fast/1099557","Horses","http://id.worldcat.org/fast/960603","","","","","","","","","","","narv_westermeier_31_05_B15.tif","https://ark.colorado.edu/ark:/47540/ss05699280p5","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 5, Photo B15","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","618","4858","narv_westermeier_31_05_B15.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~618~224129"
"Clifford P. and Therese S. Westermeier Collection","Al Hoyt riding bronco","Bowman, Walter S.;photographer","","Hoyt, Al;performer","local","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","Oregon--Pendleton","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer Al Hoyt riding bucking bronco","Rodeos","http://id.worldcat.org/fast/1099565","Rodeo performers","http://id.worldcat.org/fast/1099561","Bronc riding","http://id.worldcat.org/fast/839383","","","","","","","","","","","narv_westermeier_31_05_B9.tif","https://ark.colorado.edu/ark:/47540/hr5653816283","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 5, Photo B9","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","619","4858","narv_westermeier_31_05_B9.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~619~224130"
"Clifford P. and Therese S. Westermeier Collection","Anita Studnick riding bronco at the Pendleton Round-Up","Studnick, Anita;performer","local","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","Oregon--Pendleton","Pendleton Drug Co.","1924","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer Anita Studnick riding bronco, ""Billy Buck""","Cowgirls","http://id.worldcat.org/fast/882007","Women rodeo performers","http://id.worldcat.org/fast/1178476","Women in rodeos","http://id.worldcat.org/fast/1177964","Rodeos","http://id.worldcat.org/fast/1099565","Bronc riding","http://id.worldcat.org/fast/839383","","","","","","","narv_westermeier_44_Book1_AN.tif","https://ark.colorado.edu/ark:/47540/463h5r37p7x5","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 1, Photo AN","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","620","4858","narv_westermeier_44_Book1_AN.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~620~223905"
"Clifford P. and Therese S. Westermeier Collection","Art Acord and others roping horses","Acord, Art, 1890-1931;performer","http://id.worldcat.org/fast/452834","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Roder performer Art Acord and others rope horses to prepare for bronco riders","Rodeos","http://id.worldcat.org/fast/1099565","Rodeo performers","http://id.worldcat.org/fast/1099561","Horses","http://id.worldcat.org/fast/960603","","","","","","","","","","","narv_westermeier_44_Book2_CJ.tif","https://ark.colorado.edu/ark:/47540/b70w1g27v3vp","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 2, Photo CJ","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","621","4858","narv_westermeier_44_Book2_CJ.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~621~223868"
"Clifford P. and Therese S. Westermeier Collection","Art Acord doing Hippodrome stand","Acord, Art, 1890-1931;performer","http://id.worldcat.org/fast/452834","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer Art Acord standing in saddle of running horse with arms out, a trick called the ""Hippodrome stand""","Rodeos","http://id.worldcat.org/fast/1099565","Rodeo performers","http://id.worldcat.org/fast/1099561","Trick riding","http://id.worldcat.org/fast/1156638","","","","","","","","","","","narv_westermeier_44_Book2_AT.tif","https://ark.colorado.edu/ark:/47540/gf5p7m25k98z","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 2, Photo AT","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","622","4858","narv_westermeier_44_Book2_AT.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~622~223883"
"Clifford P. and Therese S. Westermeier Collection","Art Acord riding bronco, Cyclone","Acord, Art, 1890-1931;performer","http://id.worldcat.org/fast/452834","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer Art Acord riding bucking bronco, Cyclone","Rodeos","http://id.worldcat.org/fast/1099565","Rodeo performers","http://id.worldcat.org/fast/1099561","Bronc riding","http://id.worldcat.org/fast/839383","","","","","","","","","","","narv_westermeier_44_Book2_BU.tif","https://ark.colorado.edu/ark:/47540/fd1h6b72d4np","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 2, Photo BU","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","623","4858","narv_westermeier_44_Book2_BU.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~623~223877"
"Clifford P. and Therese S. Westermeier Collection","Bareback bronco rider","Devere;photographer","local","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","Wyoming--Cheyenne","","1948","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer Jim White riding bronco with no saddle","Rodeos","http://id.worldcat.org/fast/1099565","Rodeo performers","http://id.worldcat.org/fast/1099561","Bronc riding","http://id.worldcat.org/fast/839383","","","","","","","","","","","narv_westermeier_31_07_C2.tif","https://ark.colorado.edu/ark:/47540/qk605248w3dt","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 7, Photo C2","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","624","4858","narv_westermeier_31_07_C2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~624~224115"
"Clifford P. and Therese S. Westermeier Collection","Bareback bronco rider","Devere;photographer","local","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","Wyoming--Cheyenne","","1948","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer O.H. Goze being thrown off bucking bronco","Rodeos","http://id.worldcat.org/fast/1099565","Rodeo performers","http://id.worldcat.org/fast/1099561","Bronc riding","http://id.worldcat.org/fast/839383","","","","","","","","","","","narv_westermeier_31_07_C1.tif","https://ark.colorado.edu/ark:/47540/dm0n6k41c3d2","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 7, Photo C1","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","625","4858","narv_westermeier_31_07_C1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~625~224116"
"Clifford P. and Therese S. Westermeier Collection","Bareback bronco rider","","","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Unidentified rodeo performer riding bronco with no saddle","Rodeos","http://id.worldcat.org/fast/1099565","Rodeo performers","http://id.worldcat.org/fast/1099561","Bronc riding","http://id.worldcat.org/fast/839383","","","","","","","","","","","narv_westermeier_44_Book2_BN.tif","https://ark.colorado.edu/ark:/47540/bz826c18n1m2","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 2, Photo BN","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","626","4858","narv_westermeier_44_Book2_BN.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~626~223878"
